playerName,competitions,teamName
Wanderson,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Anicet Andrianantenaina,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Svetoslav Dyakov,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Serkan Yusein,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Dimo Bakalov,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Stéphane Badji,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Dan Biton,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Ivan Yordanov,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jakub Świerczok,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Marcelinho,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jody Lukoki,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Claudiu Keșerü,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Jorginho,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Mavis Tchibota,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Stoycho Stoev,"['A PFG', 'UEFA Champions League', 'UEFA Europa League']",PFK Ludogorets 1945 Razgrad
Mile Svilar,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Ivan Zlobin,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Odisseas Vlachodimos,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Tyronne Ebuehi,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Rúben Dias,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Jardel,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Alejandro Grimaldo,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
André Almeida,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Ferro,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Germán Conti,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Nuno Tavares,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
João Ferreira,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Gabriel,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Adel Taarabt,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Andrija Živković,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Ljubomir Fejsa,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Andreas Samaris,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Franco Cervi,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Rafa Silva,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Chiquinho,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Gedson,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Florentino Luís,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Carlos Vinícius,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Caio,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Haris Seferović,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Pizzi,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Jhonder Cádiz,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Raúl de Tomás,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Jota,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Bruno Lage,"['Primeira Liga', 'Supertaça Cândido de Oliveira', 'UEFA Champions League']",Sport Lisboa e Benfica
Paul Harrison,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Connor Roberts,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Lewis Dutton,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
Simon Spender,"['UEFA Champions League', 'UEFA Europa League', 'Welsh Premier League']",The New Saints FC
