,col
1190,lukás-hrádecký
1191,adrian-stanilewicz
1192,dennis-mukuna-mbay
1193,markus-krösche
1194,daniel-niedzkowski
1195,peter-bosz
1196,luca-unbehaun
1197,łukasz-piszczek
1198,raphaël-guerreiro
1199,mateu-morey
1200,patrick-osterhage
1201,tobias-raschl
1202,lucien-favre
1203,edin-terzic
1204,jerôme-boateng
1205,niklas-süle
1206,thiago-alcântara
1207,sarpreet-singh
1208,paul-will
1209,ryan-johansson
1210,alex-timossi-andersson
1211,peter-hermann
1212,adán
1213,jose-maria-gimenez
1214,šime-vrsaljko
1215,rafael-muñoz-benavides
1216,carlos-isaac
1217,andres-solano-davila
1218,teye-partey
1219,saul
1220,hector-herrera
1221,juan-moreno-fernández
1222,ferni
1223,toni-moya
1224,alberto-rodenas-martinez
1225,juan-aguero-nuñez
1226,joão-felix
1227,cristian-rodríguez
1228,mikel-carro-fandiño
1229,sanchez-de-la-peña
1230,álvaro-morata
1231,borja-garces-moreno
1232,sergio-camello
1233,germán-burgos
1234,jokin-ezkieta-mendiburu
1235,iñaki-peña
1236,pique
1237,nelsinho
1238,juan-brandáriz
1239,junior-firpo
1240,guillem-jaime
1241,marlon
1242,busquets
1243,carles-aleñà
1244,carles-perez
1245,álex-collado
1246,ernesto-valverde
1247,éder-militão
1248,raphaël-varane
1249,reguilon
1250,javier-sánchez
1251,adrián-barquilla
1252,martin-ødegaard
1253,álvaro-fidalgo
1254,francisco-feuillasier-abalo
1255,mariano-díaz
1256,francisco-garcia
1257,jaume-domenech
1258,salva-ruiz
1259,javier-jimenez
1260,hugo-guillamon
1261,dani-parejo
1262,lee-kangin
1263,ruben-sobrino
1264,maxi-gomez
1265,rodrigo
1266,manuel-vallejo
1267,marcelino
1268,voro
1269,alessandro-santopadre
1270,alessandro-turrin
1271,jose-luis-palomino
1272,berat-gjimshiti
1273,patrick-asmah
1274,martin-škrtel
1275,alberto-dossena
1276,eyob-zambataro
1277,matteo-salvi
1278,mbia-seck
1279,stefano-marchetti
1280,alberto-carminati
1281,caleb-okoli
1282,roger-ibanez
1283,nadir-minotti
1284,nicolo-fazzi
1285,davide-agazzi
1286,ruslan-malinovskyi
1287,federico-chiossi
1288,gabriel-lunetta
1289,nicolas-la-vigna
1290,roberto-ranieri
1291,denis-hergheligiu
1292,modou-lamin-badjie
1293,tiziano-tulissi
1294,dejan-kulusekvski
1295,giacomo-parigi
1296,roberto-piccoli
1297,nicolò-cambiaghi
1298,gian-piero-gasperini
1299,raffaele-di-gennaro
1300,dalbert-henrique
1301,milan-škriniar
1302,thomas-schirò
1303,eddy-salcedo-mora
1304,andrea-adorante
1305,davide-merola
1306,sebastiano-esposito
1307,luciano-spalletti
1308,giulio-nuciari
1309,wojciech-szczęsny
1310,paolo-gozzi-iweru
1311,nicolò-fagioli
1312,manolo-portanova
1313,stephy-mavididi
1314,idrissa-toure
1315,hans-nicolussi-caviglia
1316,pablo-moreno-taboada
1317,maurizio-sarri
1318,davide-marfella
1319,alessandro-fortunato-d-andrea
1320,antonio-daniele
1321,joao-pedro-piai
1322,karim-zedadka
1323,antonio-romano
1324,eugenio-d-ursi
1325,vaná
1326,diogo-costa
1327,mouhamed-mbaye
1328,marcano
1329,diogo-queiros
1330,wilson-manafá
1331,renzo-saravia
1332,jesus-corona
1333,sergio-oliveira
1334,luis-díaz
1335,mamadou-ndiaye
1336,romário-baro
1337,tiquinho
1338,abdul-majeed-waris
1339,ze-luís
1340,fábio-silva
1341,sergio--conceição
1342,vítor-bruno
1343,domagoj-bradaric
1344,zeki-çelik
1345,reinildo
1346,tiago-djalo
1347,cheikh-niasse
1348,saad-agouzoul
1349,show
1350,jeremy-pied
1351,yusuf-yazıcı
1352,arton-zekaj
1353,tim-weah
1354,abou-ouattara
1355,virgiliu-postolachi
1356,christophe-galtier
1357,thierry-oleksiak
1358,ciprian-tătărusanu
1359,marçal
1360,jean-lucas
1361,pape-cheikh-diop
